KEY	INTPTLAT10	INTPTLON10
796	42.3169234	-88.4539214
797	42.3689994	-88.6499289
798	42.180831	-88.3241127
799	42.2790158	-88.3383925
800	42.2742828	-88.307894
801	42.1631399	-88.3053861
802	42.4259802	-88.6178551
803	42.159194	-88.2966048
804	42.2244262	-88.3785114
805	42.2315604	-88.2170096
806	42.1796992	-88.2407902
807	42.4514184	-88.5228032
808	42.4052428	-88.5945024
809	42.3678892	-88.5194303
810	42.1602434	-88.2654879
811	42.222374	-88.340693
812	42.3081867	-88.525601
813	42.2513452	-88.2047186
814	42.3678875	-88.2492404
815	42.2560437	-88.3114104
816	42.2276619	-88.2413174
817	42.2154366	-88.3594983
818	42.1720214	-88.3593375
819	42.203062	-88.238651
820	42.2381129	-88.2498256
821	42.4495497	-88.2897575
822	42.209845	-88.2483827
823	42.342916	-88.3339635
824	42.369859	-88.3786728
825	42.4525448	-88.2086445
826	42.3335604	-88.4311046
827	42.3106636	-88.2698899
828	42.179304	-88.3883325
829	42.1998407	-88.2756206
830	42.1815221	-88.2798816
831	42.1705168	-88.305699
832	42.2061163	-88.2162574
833	42.3455834	-88.4050104
834	42.2100342	-88.2621913
835	42.1878077	-88.2678302
836	42.2380647	-88.3706256
837	42.1775863	-88.2605677
838	42.1885308	-88.2997863
839	42.1611507	-88.3109984
840	42.2347874	-88.3878607
841	42.4521466	-88.5977945
842	42.187007	-88.3209079
843	42.1905747	-88.2117468
844	42.2610621	-88.3803924
845	42.1562679	-88.2867557
846	42.1635109	-88.2763888
847	42.2159593	-88.2437391
848	42.2318114	-88.2726654
849	42.3334142	-88.2915066
850	42.4415773	-88.6769843
851	42.3110809	-88.3319721
852	42.2797482	-88.2154283
853	42.1663171	-88.2221347
854	42.2143347	-88.2138818
855	42.2444854	-88.3019518
856	42.2971453	-88.2513162
857	42.270255	-88.2475915
858	42.194656	-88.3928631
859	42.1871243	-88.3940223
860	42.2149039	-88.2364356
861	42.2048258	-88.2512432
862	42.2209734	-88.3470735
863	42.3219144	-88.4630177
864	42.3777488	-88.3243501
865	42.4064545	-88.3413234
866	42.4032445	-88.3502853
867	42.360168	-88.2632191
868	42.1775288	-88.347355
869	42.2036181	-88.3207677
870	42.1830736	-88.332897
871	42.1937621	-88.332964
872	42.259868	-87.9041727
873	42.255827	-88.1896735
874	42.3359431	-87.8416475
875	42.2153608	-87.8631747
876	42.2522302	-88.1713971
877	42.2286952	-88.1903509
878	42.2130533	-88.1861798
879	42.4825983	-87.8284388
880	42.4604549	-87.8248549
881	42.3512705	-87.9528088
882	42.2979316	-87.9954155
883	42.3007153	-87.9706881
884	42.3874	-87.8602564
885	42.3734578	-87.8743434
886	42.3764937	-87.8681576
887	42.1590223	-87.9732579
888	42.1746963	-87.977939
889	42.1795366	-87.9813265
890	42.1645159	-87.8553517
891	42.2060056	-88.1034642
892	42.2147845	-87.804791
893	42.4026132	-87.8123237
894	42.4680038	-87.8068025
895	42.4462433	-87.8109511
896	42.3145751	-87.8315224
897	42.3761087	-87.8562081
898	42.1665686	-87.7696955
899	42.3341452	-88.0781167
900	42.3552581	-88.0874639
901	42.4089179	-88.0614875
902	42.3003364	-87.8538341
903	42.3693883	-88.0840242
904	42.233828	-87.821279
905	42.3938714	-87.837818
906	42.3712122	-87.820011
907	42.3340077	-87.9855815
908	41.3619753	-88.3087428
909	42.3357199	-87.8951168
910	42.3539337	-87.9201853
911	42.3706215	-87.929225
912	42.3956325	-87.9217265
913	42.3785434	-87.913101
914	42.2926375	-88.1411226
915	42.1619224	-87.9616484
916	42.4267655	-88.023884
917	42.4342523	-88.0967765
918	42.2254675	-88.0216506
919	42.2483007	-87.9880454
920	38.7118406	-87.7588663
921	38.7230836	-87.8801185
922	42.223872	-88.0482258
923	42.2090647	-88.04316
924	42.1917173	-88.0326215
925	42.16523	-87.8066238
926	42.4863299	-87.8403467
927	42.4535325	-87.8256957
928	42.1740304	-88.0389121
929	42.298255	-88.0941489
930	38.7006414	-87.672761
931	38.7316539	-87.6788562
932	38.7350727	-87.6943674
933	38.7241486	-87.6904544
934	40.9677884	-89.3750859
935	42.1606122	-87.8373127
936	42.1653771	-87.9818904
